tamainid,location_description,rdfeature,rdcharacter,rdclass,rdconfigur,rdsurface,rdcondition,lightcond,weather,trafcontrl,lat,lon,lon2,lat2,tract,zone,fatality,possblinj,numpassengers,numpedestrians,contrcir1_desc,contrcir2_desc,contrcir3_desc,contrcir4_desc,vehicle1,vehicle2,vehicle3,vehicle4,vehicle5,workarea,records,ta_date,ta_time,crash_date,geo_location,year,fatalities,injuries,month,contrfact1,contrfact2,contributing_factor,vehicleconcat1,vehicleconcat2,vehicleconcat3,vehicle_type
38232,10 FEET FROM SR 1009 (TRYON RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38235,CARY,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38241,.2 MILES FROM PVA OF 400 KILDAIRE FARM RD,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38243,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38245,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38247,1 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38249,150 FEET FROM US1 S,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38256,.01 MILES FROM US 64 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38257,357 FEET FROM PVA BED BATH BEYOND(405 CROSSR,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38259,400 FEET FROM P.V.A. (885 WALNUT ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38262,100 FEET FROM SR1415 (SE MAYNARD RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38271,0.081 MILES FROM 2861 JONES FRANKLIN RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38274,60 FEET FROM SR 1618 (WALDO ROOD BLVD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38277,110 FEET FROM P.V.A (302 COLONADES WAY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38280,450 FEET FROM THORESBY CT,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38295,277 FEET FROM P.V.A (2021 WALNUT ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38303,208 FEET FROM P.V.A (110 MIDDLE CREEK PARK A,NO SPECIAL FEATURE,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38306,.25 MILES FROM PVA (270 NOTTINGHAM DR),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38312,2 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38320,200 FEET FROM 575-102 NEW WAVERLY PL,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38321,285 FEET FROM SR 1011 (W CHATHAM ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38324,.16 MILES FROM SR 3112 (NW CARY PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38325,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38334,1 MILES FROM SR 1617(CARPENTER UPCHURCH RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38339,250 FEET FROM P.V.A. (101 METLIFE WAY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38347,97 FEET FROM SR 3073 (NW MAYNARD RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38353,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38372,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38387,0.143 MILES FROM SR 1009 (TRYON RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38395,450 FEET FROM WESTON PKWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38396,0 FEET FROM NW CARY PKWY,NO SPECIAL FEATURE,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38397,500 FEET FROM SR 1615 (HIGH HOUSE RD),NO SPECIAL FEATURE,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38408,50 FEET FROM NC 55 HWY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38409,45 FEET FROM PVA (100 PARKTHROUGH ST),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38412,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38413,0.225 MILES FROM SR 3977 SW CARY PKWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38419,25 FEET FROM SR 1313 (WALNUT ST),,,,,,,,,,,,,,,118,0,0,,,,,,,,,,,,,191,1/3/2019,10:35 AM,2019-01-03T15:35:00+00:00,,2019,No,No,1,,,,,,,
38420,110 FEET FROM NW CARY PKWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38421,0 FEET FROM NC 54  HWY (NE MAYNARD RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38425,0 FEET FROM SR 1300 (KILDAIRE FARM RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
